,Value(uM),Subject Age,Subject Sex,Subject Information
5811,0.23 (0.19-0.29),Newborn (0-30 days old),,Normal
5812,173 (145-199),Infant (0-1 year old),,Normal
5813,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5814,105 (91.8-119),Newborn (0-30 days old),,Normal
5815,315 (269-369),Infant (0-1 year old),,Normal
5816,409.32(87.37),Adult (>18 years old),Both,Normal
5817,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5818,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5819,11 (8.46-13.9),Infant (0-1 year old),,Normal
5820,25.87(9.06),Adult (>18 years old),Both,Normal
5821,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
5822,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5823,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
5824,2.76(1.13),Adult (>18 years old),Both,Normal
5825,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
5826,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
5827,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
5828,2.76(1.13),Adult (>18 years old),Both,Normal
5829,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
5830,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
5831,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
5832,60.62(19.39),Adult (>18 years old),Both,Normal
5833,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
5834,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
5835,212 (183-244),Infant (0-1 year old),,Normal
5836,267.03(66.1),Adult (>18 years old),Both,Normal
5837,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
5838,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
5839,106 (89.5-120),Infant (0-1 year old),,Normal
5840,165.5(44.39),Adult (>18 years old),Both,Normal
5841,65.00-240.0,Adult (>18 years old),Both,Normal
5842,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
5843,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
5844,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
5845,46.61(21.41),Adult (>18 years old),Both,Normal
5846,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
5847,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
5848,1.16 +/- 0.47,Adult (>18 years old),Both,Normal
5849,0.4 (0.3-0.54),Infant (0-1 year old),,Normal
5850,1.7(0.84),Adult (>18 years old),Both,Normal
5851,0.31 (0.26-0.37),Newborn (0-30 days old),,Normal
5852,1.16 +/- 0.47,Adult (>18 years old),Both,Normal
5853,0.4 (0.3-0.54),Infant (0-1 year old),,Normal
5854,1.7(0.84),Adult (>18 years old),Both,Normal
5855,0.31 (0.26-0.37),Newborn (0-30 days old),,Normal
5856,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
5857,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5858,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5859,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5860,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5861,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5862,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5863,5.75(3.77),Adult (>18 years old),Both,Normal
5864,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5865,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5866,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5867,5.75(3.77),Adult (>18 years old),Both,Normal
5868,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5869,2.99 (2.39-3.84),Infant (0-1 year old),,Normal
5870,2.26 (0.33-4.11),Adolescent (13-18 years old),Both,Normal
5871,5.12(2.19),Adult (>18 years old),Both,Normal
5872,2.95 (2.53-3.44),Newborn (0-30 days old),,Normal
5873,4.73 +/- 1.65,Adult (>18 years old),Both,Normal
5874,,Adult (>18 years old),Both,Normal
5875,2.99 (2.39-3.84),Infant (0-1 year old),,Normal
5876,2.26 (0.33-4.11),Adolescent (13-18 years old),Both,Normal
5877,5.12(2.19),Adult (>18 years old),Both,Normal
5878,2.95 (2.53-3.44),Newborn (0-30 days old),,Normal
5879,4.73 +/- 1.65,Adult (>18 years old),Both,Normal
5880,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5881,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5882,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5883,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5884,173 (145-199),Infant (0-1 year old),,Normal
5885,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5886,105 (91.8-119),Newborn (0-30 days old),,Normal
5887,173 (145-199),Infant (0-1 year old),,Normal
5888,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5889,105 (91.8-119),Newborn (0-30 days old),,Normal
5890,315 (269-369),Infant (0-1 year old),,Normal
5891,,Adult (>18 years old),Both,Normal
5892,409.32(87.37),Adult (>18 years old),Both,Normal
5893,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5894,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5895,11 (8.46-13.9),Infant (0-1 year old),,Normal
5896,25.87(9.06),Adult (>18 years old),Both,Normal
5897,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
5898,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5899,11 (8.46-13.9),Infant (0-1 year old),,Normal
5900,25.87(9.06),Adult (>18 years old),Both,Normal
5901,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
5902,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5903,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
5904,2.76(1.13),Adult (>18 years old),Both,Normal
5905,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
5906,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
5907,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
5908,3.14(1.2),Adult (>18 years old),Both,Normal
5909,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
5910,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
5911,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
5912,60.62(19.39),Adult (>18 years old),Both,Normal
5913,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
5914,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
5915,212 (183-244),Infant (0-1 year old),,Normal
5916,267.03(66.1),Adult (>18 years old),Both,Normal
5917,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
5918,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
5919,106 (89.5-120),Infant (0-1 year old),,Normal
5920,165.5(44.39),Adult (>18 years old),Both,Normal
5921,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
5922,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
5923,106 (89.5-120),Infant (0-1 year old),,Normal
5924,165.5(44.39),Adult (>18 years old),Both,Normal
5925,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
5926,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
5927,130 (111-150),Infant (0-1 year old),,Normal
5928,228.74(50.69),Adult (>18 years old),Both,Normal
5929,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
5930,135 (118-151),Newborn (0-30 days old),,Normal
5931,130 (111-150),Infant (0-1 year old),,Normal
5932,228.74(50.69),Adult (>18 years old),Both,Normal
5933,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
5934,135 (118-151),Newborn (0-30 days old),,Normal
5935,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
5936,46.61(21.41),Adult (>18 years old),Both,Normal
5937,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
5938,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
5939,3.48 +/- 0.95,Adult (>18 years old),Both,Normal
5940,2.21 (1.85-2.71),Infant (0-1 year old),,Normal
5941,1.46 (1.21-1.76),Newborn (0-30 days old),,Normal
5942,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
5943,76.6 (65.9-90.8),Infant (0-1 year old),,Normal
5944,50.00-205.0,Adult (>18 years old),Both,Normal
5945,101.6 +/- 22.6,Adult (>18 years old),Both,Normal
5946,147.79(39.15),Adult (>18 years old),Both,Normal
5947,90.4 (78.8-104),Newborn (0-30 days old),,Normal
5948,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
5949,20.00-135.0,Adult (>18 years old),Both,Normal
5950,81.9(19.68),Adult (>18 years old),Both,Normal
5951,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
5952,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
5953,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
5954,81.9(19.68),Adult (>18 years old),Both,Normal
5955,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
5956,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
5957,60.6 (50.1-72.9 ),Newborn (0-30 days old),,Normal
5958,49.1 (37.8-60.8),Infant (0-1 year old),,Normal
5959,35.00-170.0,Adult (>18 years old),Both,Normal
5960,103.41(31.68),Adult (>18 years old),Both,Normal
5961,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
5962,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
5963,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
5964,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
5965,0.40-1.20,Adult (>18 years old),Both,Normal
5966,0.44(0.12),Adult (>18 years old),Both,Normal
5967,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
5968,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
5969,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
5970,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
5971,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
5972,105 (91.8-119),Newborn (0-30 days old),,Normal
5973,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5974,173 (145-199),Infant (0-1 year old),,Normal
5975,105 (91.8-119),Newborn (0-30 days old),,Normal
5976,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5977,173 (145-199),Infant (0-1 year old),,Normal
5978,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
5979,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
5980,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
5981,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
5982,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
5983,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
5984,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
5985,5.75(3.77),Adult (>18 years old),Both,Normal
5986,105 (91.8-119),Newborn (0-30 days old),,Normal
5987,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
5988,173 (145-199),Infant (0-1 year old),,Normal
5989,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5990,315 (269-369),Infant (0-1 year old),,Normal
5991,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5992,409.32(87.37),Adult (>18 years old),Both,Normal
5993,84.2 (71.2-101),Newborn (0-30 days old),,Normal
5994,315 (269-369),Infant (0-1 year old),,Normal
5995,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
5996,409.32(87.37),Adult (>18 years old),Both,Normal
5997,2.8 (2.33-3.53),Newborn (0-30 days old),,Normal
5998,11 (8.46-13.9),Infant (0-1 year old),,Normal
5999,15.9 +/- 4.61,Adult (>18 years old),Both,Normal
6000,25.87(9.06),Adult (>18 years old),Both,Normal
6001,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
6002,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
6003,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
6004,2.76(1.13),Adult (>18 years old),Both,Normal
6005,0.52 (0.43-0.62),Newborn (0-30 days old),,Normal
6006,0.82 (0.63-1.14),Infant (0-1 year old),,Normal
6007,1.87 +/- 0.66,Adult (>18 years old),Both,Normal
6008,2.76(1.13),Adult (>18 years old),Both,Normal
6009,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6010,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6011,60.62(19.39),Adult (>18 years old),Both,Normal
6012,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6013,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
6014,212 (183-244),Infant (0-1 year old),,Normal
6015,267.03(66.1),Adult (>18 years old),Both,Normal
6016,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
6017,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
6018,106 (89.5-120),Infant (0-1 year old),,Normal
6019,165.5(44.39),Adult (>18 years old),Both,Normal
6020,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
6021,135 (118-151),Newborn (0-30 days old),,Normal
6022,130 (111-150),Infant (0-1 year old),,Normal
6023,228.74(50.69),Adult (>18 years old),Both,Normal
6024,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
6025,135 (118-151),Newborn (0-30 days old),,Normal
6026,130 (111-150),Infant (0-1 year old),,Normal
6027,228.74(50.69),Adult (>18 years old),Both,Normal
6028,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
6029,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
6030,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
6031,46.61(21.41),Adult (>18 years old),Both,Normal
6032,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
6033,5.2 (4.18-6.71),Newborn (0-30 days old),,Normal
6034,8.39 (6.57-11.5),Infant (0-1 year old),,Normal
6035,46.61(21.41),Adult (>18 years old),Both,Normal
6036,29.3 +/- 15.5,Adult (>18 years old),Both,Normal
6037,1.16 +/- 0.47,Adult (>18 years old),Both,Normal
6038,0.31 (0.26-0.37),Newborn (0-30 days old),,Normal
6039,0.4 (0.3-0.54),Infant (0-1 year old),,Normal
6040,1.7(0.84),Adult (>18 years old),Both,Normal
6041,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
6042,36.1 (31-41.9),Newborn (0-30 days old),,Normal
6043,47.3 +/- 11.3,Adult (>18 years old),Both,Normal
6044,25.0-95.0,Adult (>18 years old),Both,Normal
6045,32.8 (26.5-38.5),Infant (0-1 year old),,Normal
6046,62.34(20.77),Adult (>18 years old),Both,Normal
6047,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
6048,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
6049,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
6050,81.9(19.68),Adult (>18 years old),Both,Normal
6051,60.6 (50.1-72.9 ),Newborn (0-30 days old),,Normal
6052,49.1 (37.8-60.8),Infant (0-1 year old),,Normal
6053,103.41(31.68),Adult (>18 years old),Both,Normal
6054,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
6055,60.6 (50.1-72.9 ),Newborn (0-30 days old),,Normal
6056,49.1 (37.8-60.8),Infant (0-1 year old),,Normal
6057,103.41(31.68),Adult (>18 years old),Both,Normal
6058,88.0 +/- 25.0,Adult (>18 years old),Both,Normal
6059,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
6060,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
6061,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
6062,0.44(0.12),Adult (>18 years old),Both,Normal
6063,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
6064,0.25 (0.2-0.37),Newborn (0-30 days old),,Normal
6065,0.36 (0.05-1.88),Adolescent (13-18 years old),Both,Normal
6066,0.10-1.20,Adult (>18 years old),Both,Normal
6067,0.29 (0.25-0.35),Infant (0-1 year old),,Normal
6068,0.32 +/- 0.12,Adult (>18 years old),Both,Normal
6069,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
6070,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
6071,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
6072,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
6073,105 (91.8-119),Newborn (0-30 days old),,Normal
6074,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
6075,173 (145-199),Infant (0-1 year old),,Normal
6076,84.2 (71.2-101),Newborn (0-30 days old),,Normal
6077,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
6078,315 (269-369),Infant (0-1 year old),,Normal
6079,409.32(87.37),Adult (>18 years old),Both,Normal
6080,84.2 (71.2-101),Newborn (0-30 days old),,Normal
6081,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
6082,315 (269-369),Infant (0-1 year old),,Normal
6083,409.32(87.37),Adult (>18 years old),Both,Normal
6084,15.3 (12.7-18.3),Newborn (0-30 days old),,Normal
6085,13.87 (0.11-42.20),Adolescent (13-18 years old),Both,Normal
6086,13.6 (11.8-15.7),Infant (0-1 year old),,Normal
6087,15.1 +/- 3.01,Adult (>18 years old),Both,Normal
6088,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
6089,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
6090,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
6091,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
6092,105 (91.8-119),Newborn (0-30 days old),,Normal
6093,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
6094,173 (145-199),Infant (0-1 year old),,Normal
6095,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
6096,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
6097,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
6098,3.14(1.2),Adult (>18 years old),Both,Normal
6099,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6100,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6101,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6102,60.62(19.39),Adult (>18 years old),Both,Normal
6103,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6104,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6105,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6106,60.62(19.39),Adult (>18 years old),Both,Normal
6107,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
6108,212 (183-244),Infant (0-1 year old),,Normal
6109,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
6110,267.03(66.1),Adult (>18 years old),Both,Normal
6111,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
6112,106 (89.5-120),Infant (0-1 year old),,Normal
6113,165.5(44.39),Adult (>18 years old),Both,Normal
6114,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
6115,63.7 (53.6-73.5),Newborn (0-30 days old),,Normal
6116,106 (89.5-120),Infant (0-1 year old),,Normal
6117,165.5(44.39),Adult (>18 years old),Both,Normal
6118,129.9 +/- 26.4,Adult (>18 years old),Both,Normal
6119,135 (118-151),Newborn (0-30 days old),,Normal
6120,130 (111-150),Infant (0-1 year old),,Normal
6121,228.74(50.69),Adult (>18 years old),Both,Normal
6122,189.4 +/- 38.8,Adult (>18 years old),Both,Normal
6123,3.48 +/- 0.95,Adult (>18 years old),Both,Normal
6124,1.46 (1.21-1.76),Newborn (0-30 days old),,Normal
6125,2.21 (1.85-2.71),Infant (0-1 year old),,Normal
6126,1.23 +/- 0.46,Adult (>18 years old),Both,Normal
6127,36.1 (31-41.9),Newborn (0-30 days old),,Normal
6128,47.3 +/- 11.3,Adult (>18 years old),Both,Normal
6129,32.8 (26.5-38.5),Infant (0-1 year old),,Normal
6130,62.34(20.77),Adult (>18 years old),Both,Normal
6131,36.1 (31-41.9),Newborn (0-30 days old),,Normal
6132,47.3 +/- 11.3,Adult (>18 years old),Both,Normal
6133,32.8 (26.5-38.5),Infant (0-1 year old),,Normal
6134,62.34(20.77),Adult (>18 years old),Both,Normal
6135,90.4 (78.8-104),Newborn (0-30 days old),,Normal
6136,101.6 +/- 22.6,Adult (>18 years old),Both,Normal
6137,76.6 (65.9-90.8),Infant (0-1 year old),,Normal
6138,147.79(39.15),Adult (>18 years old),Both,Normal
6139,90.4 (78.8-104),Newborn (0-30 days old),,Normal
6140,101.6 +/- 22.6,Adult (>18 years old),Both,Normal
6141,76.6 (65.9-90.8),Infant (0-1 year old),,Normal
6142,147.79(39.15),Adult (>18 years old),Both,Normal
6143,21.8 (18.8-25.2),Newborn (0-30 days old),,Normal
6144,36.2 (28.8-42.9),Infant (0-1 year old),,Normal
6145,54.2 +/- 13.2,Adult (>18 years old),Both,Normal
6146,81.9(19.68),Adult (>18 years old),Both,Normal
6147,0.35 (0.3-0.42),Newborn (0-30 days old),,Normal
6148,0.45 (0.30-1.42),Adolescent (13-18 years old),Both,Normal
6149,0.39 (0.33-0.45),Infant (0-1 year old),,Normal
6150,0.39 +/- 0.10,Adult (>18 years old),Both,Normal
6151,0.44(0.12),Adult (>18 years old),Both,Normal
6152,0.25 (0.2-0.37),Newborn (0-30 days old),,Normal
6153,0.36 (0.05-1.88),Adolescent (13-18 years old),Both,Normal
6154,0.29 (0.25-0.35),Infant (0-1 year old),,Normal
6155,0.32 +/- 0.12,Adult (>18 years old),Both,Normal
6156,2.59 (2.16-3.19),Newborn (0-30 days old),,Normal
6157,1.3-6.5,Adult (>18 years old),Both,Normal
6158,3 (2.41-3.61),Infant (0-1 year old),,Normal
6159,4.16(1.34),Adult (>18 years old),Both,Normal
6160,3.15 +/- 0.74,Adult (>18 years old),Both,Normal
6161,4.00-22.0,Adult (>18 years old),Both,Normal
6162,4.13 (3.29-5.27),Newborn (0-30 days old),,Normal
6163,7.6 (5.96-9.28),Infant (0-1 year old),,Normal
6164,13.85(4.15),Adult (>18 years old),Both,Normal
6165,13.85(4.15),Adult (>18 years old),Both,Normal
6166,22.6 (17.7-28.7),Newborn (0-30 days old),,Normal
6167,7.00-90.0,Adult (>18 years old),Both,Normal
6168,17.4 (13.60-21.8),Infant (0-1 year old),,Normal
6169,36.08(11.41),Adult (>18 years old),Both,Normal
6170,27.8 +/- 8.8,Adult (>18 years old),Both,Normal
6171,0.65 +/- 0.18,Adult (>18 years old),Both,Normal
6172,0.45 (0.36-0.54),Newborn (0-30 days old),,Normal
6173,0.10-1.90,Adult (>18 years old),Both,Normal
6174,0.55 (0.47-0.65),Infant (0-1 year old),,Normal
6175,0.32 +/- 0.08,Adult (>18 years old),Both,Normal
6176,0.28 (0.22-0.34),Newborn (0-30 days old),,Normal
6177,0.20-1.20,Adult (>18 years old),Both,Normal
6178,0.27 (0.22-0.33),Infant (0-1 year old),,Normal
6179,1.55 (1.27-1.89),Newborn (0-30 days old),,Normal
6180,1.38 (1.03-1.84),Infant (0-1 year old),,Normal
6181,2.52 +/- 0.89,Adult (>18 years old),Both,Normal
6182,3.14(1.2),Adult (>18 years old),Both,Normal
6183,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6184,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6185,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6186,60.62(19.39),Adult (>18 years old),Both,Normal
6187,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6188,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6189,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6190,60.62(19.39),Adult (>18 years old),Both,Normal
6191,16.6 +/- 7.90,Adult (>18 years old),Both,Normal
6192,12.1 (9.51-15.8),Newborn (0-30 days old),,Normal
6193,10.42 (0.14-25.10),Adolescent (13-18 years old),Both,Normal
6194,10.1 (7.46-13.5),Infant (0-1 year old),,Normal
6195,4.02 +/- 1.47,Adult (>18 years old),Both,Normal
6196,0.66 (0.48-0.92),Newborn (0-30 days old),,Normal
6197,2.34 (1.65-3.14),Infant (0-1 year old),,Normal
6198,5.75(3.77),Adult (>18 years old),Both,Normal
6199,242.2 +/- 51.3,Adult (>18 years old),Both,Normal
6200,105 (91.8-119),Newborn (0-30 days old),,Normal
6201,173 (145-199),Infant (0-1 year old),,Normal
6202,84.2 (71.2-101),Newborn (0-30 days old),,Normal
6203,413.3 +/- 69.2,Adult (>18 years old),Both,Normal
6204,315 (269-369),Infant (0-1 year old),,Normal
6205,409.32(87.37),Adult (>18 years old),Both,Normal
6206,19.8 (16.9-22.8),Newborn (0-30 days old),,Normal
6207,40.80 (33.8-47.9),Infant (0-1 year old),,Normal
6208,57.1 +/- 13.5,Adult (>18 years old),Both,Normal
6209,60.62(19.39),Adult (>18 years old),Both,Normal
6210,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
6211,212 (183-244),Infant (0-1 year old),,Normal
6212,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
6213,267.03(66.1),Adult (>18 years old),Both,Normal
6214,44.5 (37.6-53.3),Newborn (0-30 days old),,Normal
6215,212 (183-244),Infant (0-1 year old),,Normal
6216,250.7 +/- 47.2,Adult (>18 years old),Both,Normal
6217,267.03(66.1),Adult (>18 years old),Both,Normal
