,Value(uM),Patient Age,Patient Sex,Patient Information,Comment,File
9862,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54838
9863,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54839
9864,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54840
9865,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54841
9866,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54842
9867,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54843
9868,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54844
9869,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54845
9870,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54846
9871,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54847
9872,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54848
9873,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54849
9874,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54850
9875,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54851
9876,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54852
9877,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54853
9878,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54854
9879,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54855
9880,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54856
9881,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54857
9882,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54858
9883,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54859
9884,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54860
9885,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54861
9886,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54862
9887,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54863
9888,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54864
9889,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54865
9890,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54866
9891,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54867
9892,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54868
9893,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54869
9894,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54870
9895,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54871
9896,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54872
9897,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54873
9898,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54874
9899,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54875
9900,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54876
9901,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54877
9902,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54878
9903,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54879
9904,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54880
9905,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54881
9906,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54882
9907,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54883
9908,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54884
9909,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54885
9910,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54886
9911,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54887
9912,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54888
9913,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54889
9914,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54890
9915,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54891
9916,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54892
9917,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54893
9918,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54894
9919,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54895
9920,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54896
9921,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54897
9922,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54898
9923,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54899
9924,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54900
9925,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54901
9926,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54902
9927,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54903
9928,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54904
9929,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54905
9930,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54906
9931,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54907
9932,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54908
9933,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54909
9934,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54910
9935,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54911
9936,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54912
9937,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54913
9938,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54914
9939,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54915
9940,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54916
9941,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54917
9942,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54918
9943,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54919
9944,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54920
9945,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54921
9946,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54922
9947,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54923
9948,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54924
9949,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54925
9950,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54926
9951,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54927
9952,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54928
9953,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54929
9954,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54930
9955,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54931
9956,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54932
9957,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54933
9958,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54934
9959,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54935
9960,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54936
9961,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54937
9962,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54938
9963,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54939
9964,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54940
9965,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54941
9966,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54942
9967,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54943
9968,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54944
9969,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54945
9970,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54946
9971,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54947
9972,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54948
9973,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54949
9974,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54950
9975,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54951
9976,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54952
9977,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54953
9978,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54954
9979,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54955
9980,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54956
9981,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54957
9982,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54958
9983,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54959
9984,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54960
9985,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54961
9986,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54962
9987,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54963
9988,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54964
9989,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54965
9990,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54966
9991,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54967
9992,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54968
9993,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54969
9994,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54970
9995,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54971
9996,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54972
9997,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54973
9998,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54974
9999,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54975
10000,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54976
10001,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54977
10002,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54978
10003,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54979
10004,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54980
10005,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54981
10006,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54982
10007,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54983
10008,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54984
10009,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54985
10010,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54986
10011,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54987
10012,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54988
10013,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54989
10014,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54990
10015,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54991
10016,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54992
10017,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54993
10018,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54994
10019,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54995
10020,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54996
10021,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54997
10022,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54998
10023,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-54999
10024,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55000
10025,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55001
10026,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55002
10027,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55003
10028,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55004
10029,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55005
10030,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55006
10031,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55007
10032,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55008
10033,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55009
10034,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55010
10035,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55011
10036,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55012
10037,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55013
10038,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55014
10039,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55015
10040,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55016
10041,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55017
10042,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55018
10043,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55019
10044,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55020
10045,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55021
10046,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55022
10047,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55023
10048,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55024
10049,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55025
10050,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55026
10051,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55027
10052,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55028
10053,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55029
10054,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55030
10055,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55031
10056,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55032
10057,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55033
10058,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55034
10059,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55035
10060,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55036
10061,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55037
10062,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55038
10063,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55039
10064,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55040
10065,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55041
10066,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55042
10067,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55043
10068,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55044
10069,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55045
10070,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55046
10071,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55047
10072,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55048
10073,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55049
10074,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55050
10075,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55051
10076,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55052
10077,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55053
10078,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55054
10079,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55055
10080,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55056
10081,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55057
10082,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55058
10083,,Children (1-13 years old),Both,Barth Syndrome,None,hmdb_metabolites-55059
