,Value(uM),Patient Age,Patient Sex,Patient Information,Comment
12876,,Children (1-13 years old),Both,Barth Syndrome,None
12877,,Children (1-13 years old),Both,Barth Syndrome,None
12878,,Children (1-13 years old),Both,Barth Syndrome,None
12879,,Children (1-13 years old),Both,Barth Syndrome,None
12880,,Children (1-13 years old),Both,Barth Syndrome,None
12881,,Children (1-13 years old),Both,Barth Syndrome,None
12882,,Children (1-13 years old),Both,Barth Syndrome,None
12883,,Children (1-13 years old),Both,Barth Syndrome,None
12884,,Children (1-13 years old),Both,Barth Syndrome,None
12885,,Children (1-13 years old),Both,Barth Syndrome,None
12886,,Children (1-13 years old),Both,Barth Syndrome,None
12887,,Children (1-13 years old),Both,Barth Syndrome,None
12888,,Children (1-13 years old),Both,Barth Syndrome,None
12889,,Children (1-13 years old),Both,Barth Syndrome,None
12890,,Children (1-13 years old),Both,Barth Syndrome,None
12891,,Children (1-13 years old),Both,Barth Syndrome,None
12892,,Children (1-13 years old),Both,Barth Syndrome,None
12893,,Children (1-13 years old),Both,Barth Syndrome,None
12894,,Children (1-13 years old),Both,Barth Syndrome,None
12895,,Children (1-13 years old),Both,Barth Syndrome,None
12896,,Children (1-13 years old),Both,Barth Syndrome,None
12897,,Children (1-13 years old),Both,Barth Syndrome,None
12898,,Children (1-13 years old),Both,Barth Syndrome,None
12899,,Children (1-13 years old),Both,Barth Syndrome,None
12900,,Children (1-13 years old),Both,Barth Syndrome,None
12901,,Children (1-13 years old),Both,Barth Syndrome,None
12902,,Children (1-13 years old),Both,Barth Syndrome,None
12903,,Children (1-13 years old),Both,Barth Syndrome,None
12904,,Children (1-13 years old),Both,Barth Syndrome,None
12905,,Children (1-13 years old),Both,Barth Syndrome,None
12906,,Children (1-13 years old),Both,Barth Syndrome,None
12907,,Children (1-13 years old),Both,Barth Syndrome,None
12908,,Children (1-13 years old),Both,Barth Syndrome,None
12909,,Children (1-13 years old),Both,Barth Syndrome,None
12910,,Children (1-13 years old),Both,Barth Syndrome,None
12911,,Children (1-13 years old),Both,Barth Syndrome,None
12912,,Children (1-13 years old),Both,Barth Syndrome,None
12913,,Children (1-13 years old),Both,Barth Syndrome,None
12914,,Children (1-13 years old),Both,Barth Syndrome,None
12915,,Children (1-13 years old),Both,Barth Syndrome,None
12916,,Children (1-13 years old),Both,Barth Syndrome,None
12917,,Children (1-13 years old),Both,Barth Syndrome,None
12918,,Children (1-13 years old),Both,Barth Syndrome,None
12919,,Children (1-13 years old),Both,Barth Syndrome,None
12920,,Children (1-13 years old),Both,Barth Syndrome,None
12921,,Children (1-13 years old),Both,Barth Syndrome,None
12922,,Children (1-13 years old),Both,Barth Syndrome,None
12923,,Children (1-13 years old),Both,Barth Syndrome,None
12924,,Children (1-13 years old),Both,Barth Syndrome,None
12925,,Children (1-13 years old),Both,Barth Syndrome,None
12926,,Children (1-13 years old),Both,Barth Syndrome,None
12927,,Children (1-13 years old),Both,Barth Syndrome,None
12928,,Children (1-13 years old),Both,Barth Syndrome,None
12929,,Children (1-13 years old),Both,Barth Syndrome,None
12930,,Children (1-13 years old),Both,Barth Syndrome,None
12931,,Children (1-13 years old),Both,Barth Syndrome,None
12932,,Children (1-13 years old),Both,Barth Syndrome,None
12933,,Children (1-13 years old),Both,Barth Syndrome,None
12934,,Children (1-13 years old),Both,Barth Syndrome,None
12935,,Children (1-13 years old),Both,Barth Syndrome,None
12936,,Children (1-13 years old),Both,Barth Syndrome,None
12937,,Children (1-13 years old),Both,Barth Syndrome,None
12938,,Children (1-13 years old),Both,Barth Syndrome,None
12939,,Children (1-13 years old),Both,Barth Syndrome,None
12940,,Children (1-13 years old),Both,Barth Syndrome,None
12941,,Children (1-13 years old),Both,Barth Syndrome,None
12942,,Children (1-13 years old),Both,Barth Syndrome,None
12943,,Children (1-13 years old),Both,Barth Syndrome,None
12944,,Children (1-13 years old),Both,Barth Syndrome,None
12945,,Children (1-13 years old),Both,Barth Syndrome,None
12946,,Children (1-13 years old),Both,Barth Syndrome,None
12947,,Children (1-13 years old),Both,Barth Syndrome,None
12948,,Children (1-13 years old),Both,Barth Syndrome,None
12949,,Children (1-13 years old),Both,Barth Syndrome,None
12950,,Children (1-13 years old),Both,Barth Syndrome,None
12951,,Children (1-13 years old),Both,Barth Syndrome,None
12952,,Children (1-13 years old),Both,Barth Syndrome,None
12953,,Children (1-13 years old),Both,Barth Syndrome,None
12954,,Children (1-13 years old),Both,Barth Syndrome,None
12955,,Children (1-13 years old),Both,Barth Syndrome,None
12956,,Children (1-13 years old),Both,Barth Syndrome,None
12957,,Children (1-13 years old),Both,Barth Syndrome,None
12958,,Children (1-13 years old),Both,Barth Syndrome,None
12959,,Children (1-13 years old),Both,Barth Syndrome,None
12960,,Children (1-13 years old),Both,Barth Syndrome,None
12961,,Children (1-13 years old),Both,Barth Syndrome,None
12962,,Children (1-13 years old),Both,Barth Syndrome,None
12963,,Children (1-13 years old),Both,Barth Syndrome,None
12964,,Children (1-13 years old),Both,Barth Syndrome,None
12965,,Children (1-13 years old),Both,Barth Syndrome,None
12966,,Children (1-13 years old),Both,Barth Syndrome,None
12967,,Children (1-13 years old),Both,Barth Syndrome,None
12968,,Children (1-13 years old),Both,Barth Syndrome,None
12969,,Children (1-13 years old),Both,Barth Syndrome,None
12970,,Children (1-13 years old),Both,Barth Syndrome,None
12971,,Children (1-13 years old),Both,Barth Syndrome,None
12972,,Children (1-13 years old),Both,Barth Syndrome,None
12973,,Children (1-13 years old),Both,Barth Syndrome,None
12974,,Children (1-13 years old),Both,Barth Syndrome,None
12975,,Children (1-13 years old),Both,Barth Syndrome,None
12976,,Children (1-13 years old),Both,Barth Syndrome,None
12977,,Children (1-13 years old),Both,Barth Syndrome,None
12978,,Children (1-13 years old),Both,Barth Syndrome,None
12979,,Children (1-13 years old),Both,Barth Syndrome,None
12980,,Children (1-13 years old),Both,Barth Syndrome,None
12981,,Children (1-13 years old),Both,Barth Syndrome,None
12982,,Children (1-13 years old),Both,Barth Syndrome,None
12983,,Children (1-13 years old),Both,Barth Syndrome,None
12984,,Children (1-13 years old),Both,Barth Syndrome,None
12985,,Children (1-13 years old),Both,Barth Syndrome,None
12986,,Children (1-13 years old),Both,Barth Syndrome,None
12987,,Children (1-13 years old),Both,Barth Syndrome,None
12988,,Children (1-13 years old),Both,Barth Syndrome,None
12989,,Children (1-13 years old),Both,Barth Syndrome,None
12990,,Children (1-13 years old),Both,Barth Syndrome,None
12991,,Children (1-13 years old),Both,Barth Syndrome,None
12992,,Children (1-13 years old),Both,Barth Syndrome,None
12993,,Children (1-13 years old),Both,Barth Syndrome,None
12994,,Children (1-13 years old),Both,Barth Syndrome,None
12995,,Children (1-13 years old),Both,Barth Syndrome,None
12996,,Children (1-13 years old),Both,Barth Syndrome,None
12997,,Children (1-13 years old),Both,Barth Syndrome,None
12998,,Children (1-13 years old),Both,Barth Syndrome,None
12999,,Children (1-13 years old),Both,Barth Syndrome,None
13000,,Children (1-13 years old),Both,Barth Syndrome,None
13001,,Children (1-13 years old),Both,Barth Syndrome,None
13002,,Children (1-13 years old),Both,Barth Syndrome,None
13003,,Children (1-13 years old),Both,Barth Syndrome,None
13004,,Children (1-13 years old),Both,Barth Syndrome,None
13005,,Children (1-13 years old),Both,Barth Syndrome,None
13006,,Children (1-13 years old),Both,Barth Syndrome,None
13007,,Children (1-13 years old),Both,Barth Syndrome,None
13008,,Children (1-13 years old),Both,Barth Syndrome,None
13009,,Children (1-13 years old),Both,Barth Syndrome,None
13010,,Children (1-13 years old),Both,Barth Syndrome,None
13011,,Children (1-13 years old),Both,Barth Syndrome,None
13012,,Children (1-13 years old),Both,Barth Syndrome,None
13013,,Children (1-13 years old),Both,Barth Syndrome,None
13014,,Children (1-13 years old),Both,Barth Syndrome,None
13015,,Children (1-13 years old),Both,Barth Syndrome,None
13016,,Children (1-13 years old),Both,Barth Syndrome,None
13017,,Children (1-13 years old),Both,Barth Syndrome,None
13018,,Children (1-13 years old),Both,Barth Syndrome,None
13019,,Children (1-13 years old),Both,Barth Syndrome,None
13020,,Children (1-13 years old),Both,Barth Syndrome,None
13021,,Children (1-13 years old),Both,Barth Syndrome,None
13022,,Children (1-13 years old),Both,Barth Syndrome,None
13023,,Children (1-13 years old),Both,Barth Syndrome,None
13024,,Children (1-13 years old),Both,Barth Syndrome,None
13025,,Children (1-13 years old),Both,Barth Syndrome,None
13026,,Children (1-13 years old),Both,Barth Syndrome,None
13027,,Children (1-13 years old),Both,Barth Syndrome,None
13028,,Children (1-13 years old),Both,Barth Syndrome,None
13029,,Children (1-13 years old),Both,Barth Syndrome,None
13030,,Children (1-13 years old),Both,Barth Syndrome,None
13031,,Children (1-13 years old),Both,Barth Syndrome,None
13032,,Children (1-13 years old),Both,Barth Syndrome,None
13033,,Children (1-13 years old),Both,Barth Syndrome,None
13034,,Children (1-13 years old),Both,Barth Syndrome,None
13035,,Children (1-13 years old),Both,Barth Syndrome,None
13036,,Children (1-13 years old),Both,Barth Syndrome,None
13037,,Children (1-13 years old),Both,Barth Syndrome,None
13038,,Children (1-13 years old),Both,Barth Syndrome,None
13039,,Children (1-13 years old),Both,Barth Syndrome,None
13040,,Children (1-13 years old),Both,Barth Syndrome,None
13041,,Children (1-13 years old),Both,Barth Syndrome,None
13042,,Children (1-13 years old),Both,Barth Syndrome,None
13043,,Children (1-13 years old),Both,Barth Syndrome,None
13044,,Children (1-13 years old),Both,Barth Syndrome,None
13045,,Children (1-13 years old),Both,Barth Syndrome,None
13046,,Children (1-13 years old),Both,Barth Syndrome,None
13047,,Children (1-13 years old),Both,Barth Syndrome,None
13048,,Children (1-13 years old),Both,Barth Syndrome,None
13049,,Children (1-13 years old),Both,Barth Syndrome,None
13050,,Children (1-13 years old),Both,Barth Syndrome,None
13051,,Children (1-13 years old),Both,Barth Syndrome,None
13052,,Children (1-13 years old),Both,Barth Syndrome,None
13053,,Children (1-13 years old),Both,Barth Syndrome,None
13054,,Children (1-13 years old),Both,Barth Syndrome,None
13055,,Children (1-13 years old),Both,Barth Syndrome,None
13056,,Children (1-13 years old),Both,Barth Syndrome,None
13057,,Children (1-13 years old),Both,Barth Syndrome,None
13058,,Children (1-13 years old),Both,Barth Syndrome,None
13059,,Children (1-13 years old),Both,Barth Syndrome,None
13060,,Children (1-13 years old),Both,Barth Syndrome,None
13061,,Children (1-13 years old),Both,Barth Syndrome,None
13062,,Children (1-13 years old),Both,Barth Syndrome,None
13063,,Children (1-13 years old),Both,Barth Syndrome,None
13064,,Children (1-13 years old),Both,Barth Syndrome,None
13065,,Children (1-13 years old),Both,Barth Syndrome,None
13066,,Children (1-13 years old),Both,Barth Syndrome,None
13067,,Children (1-13 years old),Both,Barth Syndrome,None
13068,,Children (1-13 years old),Both,Barth Syndrome,None
13069,,Children (1-13 years old),Both,Barth Syndrome,None
13070,,Children (1-13 years old),Both,Barth Syndrome,None
13071,,Children (1-13 years old),Both,Barth Syndrome,None
13072,,Children (1-13 years old),Both,Barth Syndrome,None
13073,,Children (1-13 years old),Both,Barth Syndrome,None
13074,,Children (1-13 years old),Both,Barth Syndrome,None
13075,,Children (1-13 years old),Both,Barth Syndrome,None
13076,,Children (1-13 years old),Both,Barth Syndrome,None
13077,,Children (1-13 years old),Both,Barth Syndrome,None
13078,,Children (1-13 years old),Both,Barth Syndrome,None
13079,,Children (1-13 years old),Both,Barth Syndrome,None
13080,,Children (1-13 years old),Both,Barth Syndrome,None
13081,,Children (1-13 years old),Both,Barth Syndrome,None
13082,,Children (1-13 years old),Both,Barth Syndrome,None
13083,,Children (1-13 years old),Both,Barth Syndrome,None
13084,,Children (1-13 years old),Both,Barth Syndrome,None
13085,,Children (1-13 years old),Both,Barth Syndrome,None
13086,,Children (1-13 years old),Both,Barth Syndrome,None
13087,,Children (1-13 years old),Both,Barth Syndrome,None
13088,,Children (1-13 years old),Both,Barth Syndrome,None
13089,,Children (1-13 years old),Both,Barth Syndrome,None
13090,,Children (1-13 years old),Both,Barth Syndrome,None
13091,,Children (1-13 years old),Both,Barth Syndrome,None
13092,,Children (1-13 years old),Both,Barth Syndrome,None
13093,,Children (1-13 years old),Both,Barth Syndrome,None
13094,,Children (1-13 years old),Both,Barth Syndrome,None
13095,,Children (1-13 years old),Both,Barth Syndrome,None
13096,,Children (1-13 years old),Both,Barth Syndrome,None
13097,,Children (1-13 years old),Both,Barth Syndrome,None
13098,,Children (1-13 years old),Both,Barth Syndrome,None
13099,,Children (1-13 years old),Both,Barth Syndrome,None
13100,,Children (1-13 years old),Both,Barth Syndrome,None
13101,,Children (1-13 years old),Both,Barth Syndrome,None
13102,,Children (1-13 years old),Both,Barth Syndrome,None
13103,,Children (1-13 years old),Both,Barth Syndrome,None
13104,,Children (1-13 years old),Both,Barth Syndrome,None
13105,,Children (1-13 years old),Both,Barth Syndrome,None
13106,,Children (1-13 years old),Both,Barth Syndrome,None
13107,,Children (1-13 years old),Both,Barth Syndrome,None
13108,,Children (1-13 years old),Both,Barth Syndrome,None
13109,,Children (1-13 years old),Both,Barth Syndrome,None
13110,,Children (1-13 years old),Both,Barth Syndrome,None
13111,,Children (1-13 years old),Both,Barth Syndrome,None
13112,,Children (1-13 years old),Both,Barth Syndrome,None
13113,,Children (1-13 years old),Both,Barth Syndrome,None
13114,,Children (1-13 years old),Both,Barth Syndrome,None
13115,,Children (1-13 years old),Both,Barth Syndrome,None
13116,,Children (1-13 years old),Both,Barth Syndrome,None
13117,,Children (1-13 years old),Both,Barth Syndrome,None
13118,,Children (1-13 years old),Both,Barth Syndrome,None
13119,,Children (1-13 years old),Both,Barth Syndrome,None
13120,,Children (1-13 years old),Both,Barth Syndrome,None
13121,,Children (1-13 years old),Both,Barth Syndrome,None
13122,,Children (1-13 years old),Both,Barth Syndrome,None
13123,,Children (1-13 years old),Both,Barth Syndrome,None
13124,,Children (1-13 years old),Both,Barth Syndrome,None
13125,,Children (1-13 years old),Both,Barth Syndrome,None
13126,,Children (1-13 years old),Both,Barth Syndrome,None
13127,,Children (1-13 years old),Both,Barth Syndrome,None
13128,,Children (1-13 years old),Both,Barth Syndrome,None
13129,,Children (1-13 years old),Both,Barth Syndrome,None
13130,,Children (1-13 years old),Both,Barth Syndrome,None
13131,,Children (1-13 years old),Both,Barth Syndrome,None
13132,,Children (1-13 years old),Both,Barth Syndrome,None
13133,,Children (1-13 years old),Both,Barth Syndrome,None
13134,,Children (1-13 years old),Both,Barth Syndrome,None
13135,,Children (1-13 years old),Both,Barth Syndrome,None
13136,,Children (1-13 years old),Both,Barth Syndrome,None
13137,,Children (1-13 years old),Both,Barth Syndrome,None
13138,,Children (1-13 years old),Both,Barth Syndrome,None
13139,,Children (1-13 years old),Both,Barth Syndrome,None
13140,,Children (1-13 years old),Both,Barth Syndrome,None
13141,,Children (1-13 years old),Both,Barth Syndrome,None
13142,,Children (1-13 years old),Both,Barth Syndrome,None
13143,,Children (1-13 years old),Both,Barth Syndrome,None
13144,,Children (1-13 years old),Both,Barth Syndrome,None
13145,,Children (1-13 years old),Both,Barth Syndrome,None
13146,,Children (1-13 years old),Both,Barth Syndrome,None
13147,,Children (1-13 years old),Both,Barth Syndrome,None
13148,,Children (1-13 years old),Both,Barth Syndrome,None
13149,,Children (1-13 years old),Both,Barth Syndrome,None
13150,,Children (1-13 years old),Both,Barth Syndrome,None
13151,,Children (1-13 years old),Both,Barth Syndrome,None
13152,,Children (1-13 years old),Both,Barth Syndrome,None
13153,,Children (1-13 years old),Both,Barth Syndrome,None
