,Name,Accession,Value(uM),Patient Age,Patient Sex,Patient Information
13717,CL(i-13:0/i-16:0/i-22:0/a-25:0)[rac],HMDB0079279,,Children (1-13 years old),Both,Barth Syndrome
13718,CL(a-13:0/i-16:0/i-22:0/a-25:0)[rac],HMDB0079280,,Children (1-13 years old),Both,Barth Syndrome
13719,CL(i-13:0/i-16:0/i-24:0/i-12:0),HMDB0079281,,Children (1-13 years old),Both,Barth Syndrome
13720,CL(a-13:0/i-16:0/i-24:0/i-12:0)[rac],HMDB0079282,,Children (1-13 years old),Both,Barth Syndrome
13721,CL(i-13:0/i-16:0/i-24:0/i-13:0),HMDB0079283,,Children (1-13 years old),Both,Barth Syndrome
13722,CL(a-13:0/i-16:0/i-24:0/i-13:0)[rac],HMDB0079284,,Children (1-13 years old),Both,Barth Syndrome
13723,CL(i-13:0/i-16:0/i-24:0/a-13:0)[rac],HMDB0079285,,Children (1-13 years old),Both,Barth Syndrome
13724,CL(a-13:0/i-16:0/i-24:0/a-13:0)[rac],HMDB0079286,,Children (1-13 years old),Both,Barth Syndrome
13725,CL(i-13:0/i-16:0/i-24:0/i-14:0),HMDB0079287,,Children (1-13 years old),Both,Barth Syndrome
13726,CL(a-13:0/i-16:0/i-24:0/i-14:0)[rac],HMDB0079288,,Children (1-13 years old),Both,Barth Syndrome
13727,CL(i-13:0/i-16:0/i-24:0/i-15:0),HMDB0079289,,Children (1-13 years old),Both,Barth Syndrome
13728,CL(a-13:0/i-16:0/i-24:0/i-15:0)[rac],HMDB0079290,,Children (1-13 years old),Both,Barth Syndrome
13729,CL(i-13:0/i-16:0/i-24:0/a-15:0)[rac],HMDB0079291,,Children (1-13 years old),Both,Barth Syndrome
13730,CL(a-13:0/i-16:0/i-24:0/a-15:0)[rac],HMDB0079292,,Children (1-13 years old),Both,Barth Syndrome
13731,CL(i-13:0/i-16:0/i-24:0/i-16:0),HMDB0079293,,Children (1-13 years old),Both,Barth Syndrome
13732,CL(a-13:0/i-16:0/i-24:0/i-16:0)[rac],HMDB0079294,,Children (1-13 years old),Both,Barth Syndrome
13733,CL(i-13:0/i-16:0/i-24:0/i-17:0),HMDB0079295,,Children (1-13 years old),Both,Barth Syndrome
13734,CL(a-13:0/i-16:0/i-24:0/i-17:0)[rac],HMDB0079296,,Children (1-13 years old),Both,Barth Syndrome
13735,CL(i-13:0/i-16:0/i-24:0/a-17:0)[rac],HMDB0079297,,Children (1-13 years old),Both,Barth Syndrome
13736,CL(a-13:0/i-16:0/i-24:0/a-17:0)[rac],HMDB0079298,,Children (1-13 years old),Both,Barth Syndrome
13737,"CL(i-13:0/i-16:0/i-24:0/18:2(9Z,11Z))",HMDB0079299,,Children (1-13 years old),Both,Barth Syndrome
13738,CL(i-13:0/i-16:0/i-24:0/i-18:0),HMDB0079300,,Children (1-13 years old),Both,Barth Syndrome
13739,"CL(a-13:0/i-16:0/i-24:0/18:2(9Z,11Z))[rac]",HMDB0079301,,Children (1-13 years old),Both,Barth Syndrome
13740,CL(a-13:0/i-16:0/i-24:0/i-18:0)[rac],HMDB0079302,,Children (1-13 years old),Both,Barth Syndrome
13741,CL(i-13:0/i-16:0/i-24:0/i-19:0),HMDB0079303,,Children (1-13 years old),Both,Barth Syndrome
13742,CL(a-13:0/i-16:0/i-24:0/i-19:0)[rac],HMDB0079304,,Children (1-13 years old),Both,Barth Syndrome
13743,CL(i-13:0/i-16:0/i-24:0/i-20:0),HMDB0079305,,Children (1-13 years old),Both,Barth Syndrome
13744,CL(a-13:0/i-16:0/i-24:0/i-20:0)[rac],HMDB0079306,,Children (1-13 years old),Both,Barth Syndrome
13745,CL(i-13:0/i-16:0/i-24:0/i-21:0),HMDB0079307,,Children (1-13 years old),Both,Barth Syndrome
13746,CL(a-13:0/i-16:0/i-24:0/i-21:0)[rac],HMDB0079308,,Children (1-13 years old),Both,Barth Syndrome
13747,CL(i-13:0/i-16:0/i-24:0/a-21:0)[rac],HMDB0079309,,Children (1-13 years old),Both,Barth Syndrome
13748,CL(a-13:0/i-16:0/i-24:0/a-21:0)[rac],HMDB0079310,,Children (1-13 years old),Both,Barth Syndrome
13749,CL(i-13:0/i-16:0/i-24:0/i-22:0),HMDB0079311,,Children (1-13 years old),Both,Barth Syndrome
13750,CL(a-13:0/i-16:0/i-24:0/i-22:0)[rac],HMDB0079312,,Children (1-13 years old),Both,Barth Syndrome
13751,CL(i-13:0/i-16:0/i-24:0/i-24:0),HMDB0079313,,Children (1-13 years old),Both,Barth Syndrome
13752,CL(a-13:0/i-16:0/i-24:0/i-24:0)[rac],HMDB0079314,,Children (1-13 years old),Both,Barth Syndrome
13753,CL(i-13:0/i-16:0/i-24:0/a-25:0)[rac],HMDB0079315,,Children (1-13 years old),Both,Barth Syndrome
13754,CL(a-13:0/i-16:0/i-24:0/a-25:0)[rac],HMDB0079316,,Children (1-13 years old),Both,Barth Syndrome
13755,CL(a-13:0/i-16:0/a-25:0/i-12:0)[rac],HMDB0079317,,Children (1-13 years old),Both,Barth Syndrome
13756,CL(i-13:0/i-16:0/a-25:0/i-12:0)[rac],HMDB0079318,,Children (1-13 years old),Both,Barth Syndrome
13757,CL(a-13:0/i-16:0/a-25:0/i-13:0)[rac],HMDB0079319,,Children (1-13 years old),Both,Barth Syndrome
13758,CL(i-13:0/i-16:0/a-25:0/i-13:0)[rac],HMDB0079320,,Children (1-13 years old),Both,Barth Syndrome
13759,CL(i-13:0/i-16:0/a-25:0/a-13:0)[rac],HMDB0079321,,Children (1-13 years old),Both,Barth Syndrome
13760,CL(a-13:0/i-16:0/a-25:0/a-13:0)[rac],HMDB0079322,,Children (1-13 years old),Both,Barth Syndrome
13761,CL(a-13:0/i-16:0/a-25:0/i-14:0)[rac],HMDB0079323,,Children (1-13 years old),Both,Barth Syndrome
13762,CL(i-13:0/i-16:0/a-25:0/i-14:0)[rac],HMDB0079324,,Children (1-13 years old),Both,Barth Syndrome
13763,CL(a-13:0/i-16:0/a-25:0/i-15:0)[rac],HMDB0079325,,Children (1-13 years old),Both,Barth Syndrome
13764,CL(i-13:0/i-16:0/a-25:0/i-15:0)[rac],HMDB0079326,,Children (1-13 years old),Both,Barth Syndrome
13765,CL(i-13:0/i-16:0/a-25:0/a-15:0)[rac],HMDB0079327,,Children (1-13 years old),Both,Barth Syndrome
13766,CL(a-13:0/i-16:0/a-25:0/a-15:0)[rac],HMDB0079328,,Children (1-13 years old),Both,Barth Syndrome
13767,CL(a-13:0/i-16:0/a-25:0/i-16:0)[rac],HMDB0079329,,Children (1-13 years old),Both,Barth Syndrome
13768,CL(i-13:0/i-16:0/a-25:0/i-16:0)[rac],HMDB0079330,,Children (1-13 years old),Both,Barth Syndrome
13769,CL(a-13:0/i-16:0/a-25:0/i-17:0)[rac],HMDB0079331,,Children (1-13 years old),Both,Barth Syndrome
13770,CL(i-13:0/i-16:0/a-25:0/i-17:0)[rac],HMDB0079332,,Children (1-13 years old),Both,Barth Syndrome
13771,CL(i-13:0/i-16:0/a-25:0/a-17:0)[rac],HMDB0079333,,Children (1-13 years old),Both,Barth Syndrome
13772,CL(a-13:0/i-16:0/a-25:0/a-17:0)[rac],HMDB0079334,,Children (1-13 years old),Both,Barth Syndrome
13773,CL(a-13:0/i-16:0/a-25:0/i-18:0)[rac],HMDB0079335,,Children (1-13 years old),Both,Barth Syndrome
13774,CL(i-13:0/i-16:0/a-25:0/i-18:0)[rac],HMDB0079336,,Children (1-13 years old),Both,Barth Syndrome
13775,"CL(a-13:0/i-16:0/a-25:0/18:2(9Z,11Z))[rac]",HMDB0079337,,Children (1-13 years old),Both,Barth Syndrome
13776,"CL(i-13:0/i-16:0/a-25:0/18:2(9Z,11Z))[rac]",HMDB0079338,,Children (1-13 years old),Both,Barth Syndrome
13777,CL(a-13:0/i-16:0/a-25:0/i-19:0)[rac],HMDB0079339,,Children (1-13 years old),Both,Barth Syndrome
13778,CL(i-13:0/i-16:0/a-25:0/i-19:0)[rac],HMDB0079340,,Children (1-13 years old),Both,Barth Syndrome
13779,CL(a-13:0/i-16:0/a-25:0/i-20:0)[rac],HMDB0079341,,Children (1-13 years old),Both,Barth Syndrome
13780,CL(i-13:0/i-16:0/a-25:0/i-20:0)[rac],HMDB0079342,,Children (1-13 years old),Both,Barth Syndrome
13781,CL(a-13:0/i-16:0/a-25:0/i-21:0)[rac],HMDB0079343,,Children (1-13 years old),Both,Barth Syndrome
13782,CL(i-13:0/i-16:0/a-25:0/i-21:0)[rac],HMDB0079344,,Children (1-13 years old),Both,Barth Syndrome
13783,CL(i-13:0/i-16:0/a-25:0/a-21:0)[rac],HMDB0079345,,Children (1-13 years old),Both,Barth Syndrome
13784,CL(a-13:0/i-16:0/a-25:0/a-21:0)[rac],HMDB0079346,,Children (1-13 years old),Both,Barth Syndrome
13785,CL(a-13:0/i-16:0/a-25:0/i-22:0)[rac],HMDB0079347,,Children (1-13 years old),Both,Barth Syndrome
13786,CL(i-13:0/i-16:0/a-25:0/i-22:0)[rac],HMDB0079348,,Children (1-13 years old),Both,Barth Syndrome
13787,CL(a-13:0/i-16:0/a-25:0/i-24:0)[rac],HMDB0079349,,Children (1-13 years old),Both,Barth Syndrome
13788,CL(i-13:0/i-16:0/a-25:0/i-24:0)[rac],HMDB0079350,,Children (1-13 years old),Both,Barth Syndrome
13789,CL(i-13:0/i-16:0/a-25:0/a-25:0)[rac],HMDB0079351,,Children (1-13 years old),Both,Barth Syndrome
13790,CL(a-13:0/i-16:0/a-25:0/a-25:0)[rac],HMDB0079352,,Children (1-13 years old),Both,Barth Syndrome
13791,CL(i-13:0/i-17:0/i-12:0/i-12:0),HMDB0079353,,Children (1-13 years old),Both,Barth Syndrome
13792,CL(a-13:0/a-17:0/i-12:0/i-12:0)[rac],HMDB0079354,,Children (1-13 years old),Both,Barth Syndrome
13793,CL(a-13:0/i-17:0/i-12:0/i-12:0)[rac],HMDB0079355,,Children (1-13 years old),Both,Barth Syndrome
13794,CL(i-13:0/a-17:0/i-12:0/i-12:0)[rac],HMDB0079356,,Children (1-13 years old),Both,Barth Syndrome
13795,CL(i-13:0/a-17:0/i-12:0/a-13:0)[rac],HMDB0079357,,Children (1-13 years old),Both,Barth Syndrome
13796,CL(i-13:0/i-17:0/i-12:0/i-13:0),HMDB0079358,,Children (1-13 years old),Both,Barth Syndrome
13797,CL(a-13:0/a-17:0/i-12:0/i-13:0)[rac],HMDB0079359,,Children (1-13 years old),Both,Barth Syndrome
13798,CL(a-13:0/i-17:0/i-12:0/i-13:0)[rac],HMDB0079360,,Children (1-13 years old),Both,Barth Syndrome
13799,CL(a-13:0/a-17:0/i-12:0/a-13:0)[rac],HMDB0079361,,Children (1-13 years old),Both,Barth Syndrome
13800,CL(i-13:0/a-17:0/i-12:0/i-13:0)[rac],HMDB0079362,,Children (1-13 years old),Both,Barth Syndrome
13801,CL(i-13:0/i-17:0/i-12:0/a-13:0)[rac],HMDB0079363,,Children (1-13 years old),Both,Barth Syndrome
13802,CL(a-13:0/i-17:0/i-12:0/a-13:0)[rac],HMDB0079364,,Children (1-13 years old),Both,Barth Syndrome
13803,CL(i-13:0/i-17:0/i-12:0/i-14:0),HMDB0079365,,Children (1-13 years old),Both,Barth Syndrome
13804,CL(a-13:0/a-17:0/i-12:0/i-14:0)[rac],HMDB0079366,,Children (1-13 years old),Both,Barth Syndrome
13805,CL(a-13:0/i-17:0/i-12:0/i-14:0)[rac],HMDB0079367,,Children (1-13 years old),Both,Barth Syndrome
13806,CL(i-13:0/a-17:0/i-12:0/i-14:0)[rac],HMDB0079368,,Children (1-13 years old),Both,Barth Syndrome
13807,CL(i-13:0/a-17:0/i-12:0/a-15:0)[rac],HMDB0079369,,Children (1-13 years old),Both,Barth Syndrome
13808,CL(i-13:0/i-17:0/i-12:0/i-15:0),HMDB0079370,,Children (1-13 years old),Both,Barth Syndrome
13809,CL(a-13:0/a-17:0/i-12:0/i-15:0)[rac],HMDB0079371,,Children (1-13 years old),Both,Barth Syndrome
13810,CL(a-13:0/i-17:0/i-12:0/i-15:0)[rac],HMDB0079372,,Children (1-13 years old),Both,Barth Syndrome
13811,CL(a-13:0/a-17:0/i-12:0/a-15:0)[rac],HMDB0079373,,Children (1-13 years old),Both,Barth Syndrome
13812,CL(i-13:0/a-17:0/i-12:0/i-15:0)[rac],HMDB0079374,,Children (1-13 years old),Both,Barth Syndrome
13813,CL(i-13:0/i-17:0/i-12:0/a-15:0)[rac],HMDB0079375,,Children (1-13 years old),Both,Barth Syndrome
13814,CL(a-13:0/i-17:0/i-12:0/a-15:0)[rac],HMDB0079376,,Children (1-13 years old),Both,Barth Syndrome
13815,CL(i-13:0/i-17:0/i-12:0/i-16:0),HMDB0079377,,Children (1-13 years old),Both,Barth Syndrome
13816,CL(a-13:0/a-17:0/i-12:0/i-16:0)[rac],HMDB0079378,,Children (1-13 years old),Both,Barth Syndrome
13817,CL(a-13:0/i-17:0/i-12:0/i-16:0)[rac],HMDB0079379,,Children (1-13 years old),Both,Barth Syndrome
13818,CL(i-13:0/a-17:0/i-12:0/i-16:0)[rac],HMDB0079380,,Children (1-13 years old),Both,Barth Syndrome
13819,CL(i-13:0/a-17:0/i-12:0/a-17:0)[rac],HMDB0079381,,Children (1-13 years old),Both,Barth Syndrome
13820,CL(i-13:0/i-17:0/i-12:0/i-17:0),HMDB0079382,,Children (1-13 years old),Both,Barth Syndrome
13821,CL(a-13:0/a-17:0/i-12:0/i-17:0)[rac],HMDB0079383,,Children (1-13 years old),Both,Barth Syndrome
13822,CL(a-13:0/i-17:0/i-12:0/i-17:0)[rac],HMDB0079384,,Children (1-13 years old),Both,Barth Syndrome
13823,CL(a-13:0/a-17:0/i-12:0/a-17:0)[rac],HMDB0079385,,Children (1-13 years old),Both,Barth Syndrome
13824,CL(i-13:0/a-17:0/i-12:0/i-17:0)[rac],HMDB0079386,,Children (1-13 years old),Both,Barth Syndrome
13825,CL(i-13:0/i-17:0/i-12:0/a-17:0)[rac],HMDB0079387,,Children (1-13 years old),Both,Barth Syndrome
13826,CL(a-13:0/i-17:0/i-12:0/a-17:0)[rac],HMDB0079388,,Children (1-13 years old),Both,Barth Syndrome
13827,"CL(i-13:0/i-17:0/i-12:0/18:2(9Z,11Z))",HMDB0079389,,Children (1-13 years old),Both,Barth Syndrome
13828,"CL(i-13:0/a-17:0/i-12:0/18:2(9Z,11Z))[rac]",HMDB0079390,,Children (1-13 years old),Both,Barth Syndrome
13829,CL(i-13:0/i-17:0/i-12:0/i-18:0),HMDB0079391,,Children (1-13 years old),Both,Barth Syndrome
13830,"CL(a-13:0/i-17:0/i-12:0/18:2(9Z,11Z))[rac]",HMDB0079392,,Children (1-13 years old),Both,Barth Syndrome
13831,CL(a-13:0/a-17:0/i-12:0/i-18:0)[rac],HMDB0079393,,Children (1-13 years old),Both,Barth Syndrome
13832,CL(a-13:0/i-17:0/i-12:0/i-18:0)[rac],HMDB0079394,,Children (1-13 years old),Both,Barth Syndrome
13833,"CL(a-13:0/a-17:0/i-12:0/18:2(9Z,11Z))[rac]",HMDB0079395,,Children (1-13 years old),Both,Barth Syndrome
13834,CL(i-13:0/a-17:0/i-12:0/i-18:0)[rac],HMDB0079396,,Children (1-13 years old),Both,Barth Syndrome
13835,CL(i-13:0/i-17:0/i-12:0/i-19:0),HMDB0079397,,Children (1-13 years old),Both,Barth Syndrome
13836,CL(a-13:0/a-17:0/i-12:0/i-19:0)[rac],HMDB0079398,,Children (1-13 years old),Both,Barth Syndrome
13837,CL(a-13:0/i-17:0/i-12:0/i-19:0)[rac],HMDB0079399,,Children (1-13 years old),Both,Barth Syndrome
13838,CL(i-13:0/a-17:0/i-12:0/i-19:0)[rac],HMDB0079400,,Children (1-13 years old),Both,Barth Syndrome
13839,CL(i-13:0/i-17:0/i-12:0/i-20:0),HMDB0079401,,Children (1-13 years old),Both,Barth Syndrome
13840,CL(a-13:0/i-17:0/i-12:0/i-20:0)[rac],HMDB0079402,,Children (1-13 years old),Both,Barth Syndrome
13841,CL(i-13:0/a-17:0/i-12:0/i-20:0)[rac],HMDB0079403,,Children (1-13 years old),Both,Barth Syndrome
13842,CL(i-13:0/a-17:0/i-12:0/a-21:0)[rac],HMDB0079404,,Children (1-13 years old),Both,Barth Syndrome
13843,CL(i-13:0/i-17:0/i-12:0/i-21:0),HMDB0079405,,Children (1-13 years old),Both,Barth Syndrome
13844,CL(a-13:0/a-17:0/i-12:0/i-21:0)[rac],HMDB0079406,,Children (1-13 years old),Both,Barth Syndrome
13845,CL(a-13:0/i-17:0/i-12:0/i-21:0)[rac],HMDB0079407,,Children (1-13 years old),Both,Barth Syndrome
13846,CL(a-13:0/a-17:0/i-12:0/a-21:0)[rac],HMDB0079408,,Children (1-13 years old),Both,Barth Syndrome
13847,CL(i-13:0/a-17:0/i-12:0/i-21:0)[rac],HMDB0079409,,Children (1-13 years old),Both,Barth Syndrome
13848,CL(i-13:0/i-17:0/i-12:0/a-21:0)[rac],HMDB0079410,,Children (1-13 years old),Both,Barth Syndrome
13849,CL(a-13:0/i-17:0/i-12:0/a-21:0)[rac],HMDB0079411,,Children (1-13 years old),Both,Barth Syndrome
13850,CL(i-13:0/i-17:0/i-12:0/i-22:0),HMDB0079412,,Children (1-13 years old),Both,Barth Syndrome
13851,CL(a-13:0/a-17:0/i-12:0/i-22:0)[rac],HMDB0079413,,Children (1-13 years old),Both,Barth Syndrome
13852,CL(a-13:0/i-17:0/i-12:0/i-22:0)[rac],HMDB0079414,,Children (1-13 years old),Both,Barth Syndrome
13853,CL(i-13:0/a-17:0/i-12:0/i-22:0)[rac],HMDB0079415,,Children (1-13 years old),Both,Barth Syndrome
13854,CL(i-13:0/i-17:0/i-12:0/i-24:0),HMDB0079416,,Children (1-13 years old),Both,Barth Syndrome
13855,CL(a-13:0/a-17:0/i-12:0/i-24:0)[rac],HMDB0079417,,Children (1-13 years old),Both,Barth Syndrome
13856,CL(a-13:0/i-17:0/i-12:0/i-24:0)[rac],HMDB0079418,,Children (1-13 years old),Both,Barth Syndrome
13857,CL(i-13:0/a-17:0/i-12:0/i-24:0)[rac],HMDB0079419,,Children (1-13 years old),Both,Barth Syndrome
13858,CL(i-13:0/a-17:0/i-12:0/a-25:0)[rac],HMDB0079420,,Children (1-13 years old),Both,Barth Syndrome
13859,CL(a-13:0/a-17:0/i-12:0/a-25:0)[rac],HMDB0079421,,Children (1-13 years old),Both,Barth Syndrome
13860,CL(i-13:0/i-17:0/i-12:0/a-25:0)[rac],HMDB0079422,,Children (1-13 years old),Both,Barth Syndrome
13861,CL(a-13:0/i-17:0/i-12:0/a-25:0)[rac],HMDB0079423,,Children (1-13 years old),Both,Barth Syndrome
13862,CL(i-13:0/i-17:0/i-13:0/i-12:0),HMDB0079424,,Children (1-13 years old),Both,Barth Syndrome
13863,CL(a-13:0/a-17:0/a-13:0/i-12:0)[rac],HMDB0079425,,Children (1-13 years old),Both,Barth Syndrome
13864,CL(a-13:0/i-17:0/a-13:0/i-12:0)[rac],HMDB0079426,,Children (1-13 years old),Both,Barth Syndrome
13865,CL(i-13:0/i-17:0/a-13:0/i-12:0)[rac],HMDB0079427,,Children (1-13 years old),Both,Barth Syndrome
13866,CL(a-13:0/a-17:0/i-13:0/i-12:0)[rac],HMDB0079428,,Children (1-13 years old),Both,Barth Syndrome
13867,CL(a-13:0/i-17:0/i-13:0/i-12:0)[rac],HMDB0079429,,Children (1-13 years old),Both,Barth Syndrome
13868,CL(i-13:0/a-17:0/a-13:0/i-12:0)[rac],HMDB0079430,,Children (1-13 years old),Both,Barth Syndrome
13869,CL(i-13:0/a-17:0/i-13:0/i-12:0)[rac],HMDB0079431,,Children (1-13 years old),Both,Barth Syndrome
13870,CL(a-13:0/a-17:0/a-13:0/a-13:0)[rac],HMDB0079432,,Children (1-13 years old),Both,Barth Syndrome
13871,CL(i-13:0/a-17:0/i-13:0/a-13:0)[rac],HMDB0079433,,Children (1-13 years old),Both,Barth Syndrome
13872,CL(i-13:0/i-17:0/i-13:0/i-13:0),HMDB0079434,,Children (1-13 years old),Both,Barth Syndrome
13873,CL(a-13:0/a-17:0/a-13:0/i-13:0)[rac],HMDB0079435,,Children (1-13 years old),Both,Barth Syndrome
13874,CL(a-13:0/i-17:0/a-13:0/i-13:0)[rac],HMDB0079436,,Children (1-13 years old),Both,Barth Syndrome
13875,CL(i-13:0/i-17:0/a-13:0/i-13:0)[rac],HMDB0079437,,Children (1-13 years old),Both,Barth Syndrome
13876,CL(a-13:0/a-17:0/i-13:0/i-13:0)[rac],HMDB0079438,,Children (1-13 years old),Both,Barth Syndrome
13877,CL(i-13:0/a-17:0/a-13:0/a-13:0)[rac],HMDB0079439,,Children (1-13 years old),Both,Barth Syndrome
13878,CL(a-13:0/i-17:0/i-13:0/i-13:0)[rac],HMDB0079440,,Children (1-13 years old),Both,Barth Syndrome
13879,CL(a-13:0/a-17:0/i-13:0/a-13:0)[rac],HMDB0079441,,Children (1-13 years old),Both,Barth Syndrome
13880,CL(i-13:0/i-17:0/a-13:0/a-13:0)[rac],HMDB0079442,,Children (1-13 years old),Both,Barth Syndrome
13881,CL(i-13:0/a-17:0/a-13:0/i-13:0)[rac],HMDB0079443,,Children (1-13 years old),Both,Barth Syndrome
13882,CL(a-13:0/i-17:0/a-13:0/a-13:0)[rac],HMDB0079444,,Children (1-13 years old),Both,Barth Syndrome
13883,CL(i-13:0/a-17:0/i-13:0/i-13:0)[rac],HMDB0079445,,Children (1-13 years old),Both,Barth Syndrome
13884,CL(i-13:0/i-17:0/i-13:0/a-13:0)[rac],HMDB0079446,,Children (1-13 years old),Both,Barth Syndrome
13885,CL(a-13:0/i-17:0/i-13:0/a-13:0)[rac],HMDB0079447,,Children (1-13 years old),Both,Barth Syndrome
13886,CL(i-13:0/i-17:0/i-13:0/i-14:0),HMDB0079448,,Children (1-13 years old),Both,Barth Syndrome
13887,CL(a-13:0/a-17:0/a-13:0/i-14:0)[rac],HMDB0079449,,Children (1-13 years old),Both,Barth Syndrome
13888,CL(a-13:0/i-17:0/a-13:0/i-14:0)[rac],HMDB0079450,,Children (1-13 years old),Both,Barth Syndrome
13889,CL(i-13:0/i-17:0/a-13:0/i-14:0)[rac],HMDB0079451,,Children (1-13 years old),Both,Barth Syndrome
13890,CL(a-13:0/a-17:0/i-13:0/i-14:0)[rac],HMDB0079452,,Children (1-13 years old),Both,Barth Syndrome
13891,CL(a-13:0/i-17:0/i-13:0/i-14:0)[rac],HMDB0079453,,Children (1-13 years old),Both,Barth Syndrome
13892,CL(i-13:0/a-17:0/a-13:0/i-14:0)[rac],HMDB0079454,,Children (1-13 years old),Both,Barth Syndrome
13893,CL(i-13:0/a-17:0/i-13:0/i-14:0)[rac],HMDB0079455,,Children (1-13 years old),Both,Barth Syndrome
13894,CL(a-13:0/a-17:0/a-13:0/a-15:0)[rac],HMDB0079456,,Children (1-13 years old),Both,Barth Syndrome
13895,CL(i-13:0/a-17:0/i-13:0/a-15:0)[rac],HMDB0079457,,Children (1-13 years old),Both,Barth Syndrome
13896,CL(i-13:0/i-17:0/i-13:0/i-15:0),HMDB0079458,,Children (1-13 years old),Both,Barth Syndrome
13897,CL(a-13:0/a-17:0/a-13:0/i-15:0)[rac],HMDB0079459,,Children (1-13 years old),Both,Barth Syndrome
13898,CL(a-13:0/i-17:0/a-13:0/i-15:0)[rac],HMDB0079460,,Children (1-13 years old),Both,Barth Syndrome
13899,CL(i-13:0/i-17:0/a-13:0/i-15:0)[rac],HMDB0079461,,Children (1-13 years old),Both,Barth Syndrome
13900,CL(a-13:0/a-17:0/i-13:0/i-15:0)[rac],HMDB0079462,,Children (1-13 years old),Both,Barth Syndrome
13901,CL(i-13:0/a-17:0/a-13:0/a-15:0)[rac],HMDB0079463,,Children (1-13 years old),Both,Barth Syndrome
13902,CL(a-13:0/i-17:0/i-13:0/i-15:0)[rac],HMDB0079464,,Children (1-13 years old),Both,Barth Syndrome
13903,CL(a-13:0/a-17:0/i-13:0/a-15:0)[rac],HMDB0079465,,Children (1-13 years old),Both,Barth Syndrome
13904,CL(i-13:0/i-17:0/a-13:0/a-15:0)[rac],HMDB0079466,,Children (1-13 years old),Both,Barth Syndrome
13905,CL(i-13:0/a-17:0/a-13:0/i-15:0)[rac],HMDB0079467,,Children (1-13 years old),Both,Barth Syndrome
13906,CL(a-13:0/i-17:0/a-13:0/a-15:0)[rac],HMDB0079468,,Children (1-13 years old),Both,Barth Syndrome
13907,CL(i-13:0/a-17:0/i-13:0/i-15:0)[rac],HMDB0079469,,Children (1-13 years old),Both,Barth Syndrome
13908,CL(i-13:0/i-17:0/i-13:0/a-15:0)[rac],HMDB0079470,,Children (1-13 years old),Both,Barth Syndrome
13909,CL(a-13:0/i-17:0/i-13:0/a-15:0)[rac],HMDB0079471,,Children (1-13 years old),Both,Barth Syndrome
13910,CL(i-13:0/i-17:0/i-13:0/i-16:0),HMDB0079472,,Children (1-13 years old),Both,Barth Syndrome
13911,CL(a-13:0/a-17:0/a-13:0/i-16:0)[rac],HMDB0079473,,Children (1-13 years old),Both,Barth Syndrome
13912,CL(a-13:0/i-17:0/a-13:0/i-16:0)[rac],HMDB0079474,,Children (1-13 years old),Both,Barth Syndrome
13913,CL(i-13:0/i-17:0/a-13:0/i-16:0)[rac],HMDB0079475,,Children (1-13 years old),Both,Barth Syndrome
13914,CL(a-13:0/a-17:0/i-13:0/i-16:0)[rac],HMDB0079476,,Children (1-13 years old),Both,Barth Syndrome
13915,CL(a-13:0/i-17:0/i-13:0/i-16:0)[rac],HMDB0079477,,Children (1-13 years old),Both,Barth Syndrome
13916,CL(i-13:0/a-17:0/a-13:0/i-16:0)[rac],HMDB0079478,,Children (1-13 years old),Both,Barth Syndrome
13917,CL(i-13:0/a-17:0/i-13:0/i-16:0)[rac],HMDB0079479,,Children (1-13 years old),Both,Barth Syndrome
13918,CL(a-13:0/a-17:0/a-13:0/a-17:0)[rac],HMDB0079480,,Children (1-13 years old),Both,Barth Syndrome
13919,CL(i-13:0/a-17:0/i-13:0/a-17:0)[rac],HMDB0079481,,Children (1-13 years old),Both,Barth Syndrome
13920,CL(i-13:0/i-17:0/i-13:0/i-17:0),HMDB0079482,,Children (1-13 years old),Both,Barth Syndrome
13921,CL(a-13:0/a-17:0/a-13:0/i-17:0)[rac],HMDB0079483,,Children (1-13 years old),Both,Barth Syndrome
13922,CL(a-13:0/i-17:0/a-13:0/i-17:0)[rac],HMDB0079484,,Children (1-13 years old),Both,Barth Syndrome
13923,CL(i-13:0/i-17:0/a-13:0/i-17:0)[rac],HMDB0079485,,Children (1-13 years old),Both,Barth Syndrome
13924,CL(a-13:0/a-17:0/i-13:0/i-17:0)[rac],HMDB0079486,,Children (1-13 years old),Both,Barth Syndrome
13925,CL(i-13:0/a-17:0/a-13:0/a-17:0)[rac],HMDB0079487,,Children (1-13 years old),Both,Barth Syndrome
13926,CL(a-13:0/i-17:0/i-13:0/i-17:0)[rac],HMDB0079488,,Children (1-13 years old),Both,Barth Syndrome
13927,CL(a-13:0/a-17:0/i-13:0/a-17:0)[rac],HMDB0079489,,Children (1-13 years old),Both,Barth Syndrome
13928,CL(i-13:0/i-17:0/a-13:0/a-17:0)[rac],HMDB0079490,,Children (1-13 years old),Both,Barth Syndrome
13929,CL(i-13:0/a-17:0/a-13:0/i-17:0)[rac],HMDB0079491,,Children (1-13 years old),Both,Barth Syndrome
13930,CL(a-13:0/i-17:0/a-13:0/a-17:0)[rac],HMDB0079492,,Children (1-13 years old),Both,Barth Syndrome
13931,CL(i-13:0/a-17:0/i-13:0/i-17:0)[rac],HMDB0079493,,Children (1-13 years old),Both,Barth Syndrome
